Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales
.hack//G.U. Vol.1//Rebirth;PS2;2006;Role-Playing;Namco Bandai Games;0;0;17;0;17
.hack//G.U. Vol.2//Reminisce;PS2;2006;Role-Playing;Namco Bandai Games;11;9;0;3;23
.hack//G.U. Vol.2//Reminisce (jp sales);PS2;2006;Role-Playing;Namco Bandai Games;0;0;16;0;16
.hack//G.U. Vol.3//Redemption;PS2;2007;Role-Playing;Namco Bandai Games;0;0;17;0;17
.hack//Infection Part 1;PS2;2002;Role-Playing;Atari;49;38;26;13;127
.hack//Link;PSP;2010;Role-Playing;Namco Bandai Games;0;0;14;0;14
.hack//Mutation Part 2;PS2;2002;Role-Playing;Atari;23;18;2;6;68
.hack//Outbreak Part 3;PS2;2002;Role-Playing;Atari;14;11;17;4;46
.hack//Quarantine Part 4: The Final Chapter;PS2;2003;Role-Playing;Atari;9;7;0;2;18
.hack: Sekai no Mukou ni + Versus;PS3;2012;Action;Namco Bandai Games;0;0;3;0;3
[Prototype 2];X360;2012;Action;Activision;48;25;0;7;8
[Prototype 2];PS3;2012;Action;Activision;36;28;0;11;75
[Prototype 2];PC;2012;Action;Activision;7;2;0;1;1
[Prototype];X360;2009;Action;Activision;84;35;0;12;131
[Prototype];PS3;2009;Action;Activision;65;41;0;19;124
¡Shin Chan Flipa en colores!;DS;2007;Platform;505 Games;0;0;14;0;14
007 Racing;PS;2000;Racing;Electronic Arts;3;2;0;3;53
007: Quantum of Solace;X360;2008;Action;Activision;82;52;1;14;149
007: Quantum of Solace;PS3;2008;Action;Activision;43;52;2;2;116
007: Quantum of Solace;Wii;2008;Action;Activision;3;29;1;7;67
007: Quantum of Solace;PS2;2008;Action;Activision;17;0;0;26;43
007: Quantum of Solace;DS;2008;Action;Activision;11;1;0;1;14
007: Quantum of Solace;PC;2008;Action;Activision;1;1;0;0;3
007: The World is not Enough;N64;2000;Action;Electronic Arts;113;38;2;3;155
007: The World is not Enough;PS;2000;Action;Electronic Arts;51;35;0;6;92
007: Tomorrow Never Dies;PS;1999;Shooter;Electronic Arts;172;133;0;16;321
1 vs. 100;DS;2008;Misc;DSI Games;8;0;0;1;9
1/2 Summer +;PSP;2013;Adventure;Kaga Create;0;0;1;0;1
10 Minute Solution;Wii;2010;Sports;Activision;6;1;0;1;8
100 All-Time Favorites;DS;2009;Puzzle;Ubisoft;35;12;0;4;51
100 Classic Books;DS;2008;Misc;Nintendo;13;52;0;2;67
100 Classic Games;DS;2011;Misc;Rondomedia;0;3;0;0;4
1000 Cooking Recipes from ELLE à table;DS;2010;Misc;Nintendo;0;2;0;0;3
1001 Touch Games;DS;2011;Action;Avanquest;12;17;0;4;33
101-in-1 Explosive Megamix;DS;2008;Puzzle;Nordcurrent;5;13;0;2;2
101-in-1 Party Megamix Wii;Wii;2009;Misc;Nordcurrent;19;1;0;2;23
101-in-1 Sports Megamix;DS;2010;Sports;Nordcurrent;8;0;0;1;8
101-in-1 Sports Party Megamix;Wii;2010;Sports;Nordcurrent;2;0;0;0;3
1080°: TenEighty Snowboarding;N64;1998;Sports;Nintendo;125;61;13;5;203
11eyes: CrossOver;X360;2009;Adventure;5pb;0;0;2;0;2
11eyes: CrossOver;PSP;2010;Adventure;5pb;0;0;2;0;2
12Riven: The Psi-Climinal of Integral;PS2;2008;Adventure;CyberFront;0;0;4;0;4
12-Sai. Honto no Kimochi;3DS;2014;Adventure;Happinet;0;0;7;0;7
12-Sai. Koisuru Diary;3DS;2016;Adventure;Happinet;0;0;4;0;4
15 Days;PC;2009;Adventure;DTP Entertainment;0;1;0;0;1
1701 A.D.;PC;2006;Simulation;Deep Silver;0;25;0;5;3
18 Wheeler: American Pro Trucker;PS2;2001;Racing;Acclaim Entertainment;2;15;0;5;4
18 Wheeler: American Pro Trucker;GC;2002;Racing;Acclaim Entertainment;9;2;0;0;11
18 Wheels of Steel: Extreme Trucker;PC;2009;Racing;Rondomedia;0;2;0;0;2
18 Wheels of Steel: Extreme Trucker 2;PC;2011;Racing;Rondomedia;8;2;0;1;11
187: Ride or Die;PS2;2005;Racing;Ubisoft;7;6;0;2;15
